country,Rank,global_ARTIST,Artist_url,Peak,Prev,Streak,Artist__url_img
Global,1,Bad Bunny,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,1,1,187,https://i.scdn.co/image/ab6761610000e5eb81f47f44084e0a09b5f0fa13
Global,2,Taylor Swift,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,1,2,187,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36
Global,3,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,1,4,187,https://i.scdn.co/image/ab67616d0000b2734891d9b25d8919448388f3bb
Global,4,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,5,3,187,https://i.scdn.co/image/ab67616d00001e021648716c6562145bea491cb6
Global,5,Fuerza Regida,https://open.spotify.com/artist/0ys2OFYzWYB5hRDLCsBqxt,2,7,128,https://i.scdn.co/image/ab67616d00001e02b0860cf0a98e09663c82290c
Global,6,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,4,6,187,https://i.scdn.co/image/ab67616d00001e0271d62ea7ea8a5be92d3c1f62
Global,7,Lady Gaga,https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms,1,5,187,https://i.scdn.co/image/ab67616d00001e025074bd0894cb1340b8d8a678
Global,8,Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2,8,187,https://i.scdn.co/image/ab67616d00001e02bbd45c8d36e0e045ef640411
Global,9,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,7,9,187,https://i.scdn.co/image/ab67616d00001e024740100d84f3667f1eae6870
Global,10,Arijit Singh,https://open.spotify.com/artist/4YRxDV8wJFPHPTeXepOstw,2,11,187,https://i.scdn.co/image/ab67616d00001e029d24f74c1e2d8a12b1e591ec
Global,11,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,2,10,187,https://i.scdn.co/image/ab67616d00001e02dad39d4906f76b7c176effb1
Global,12,Travis Scott,https://open.spotify.com/artist/0Y5tJX1MQlPlqiwlOH1tJY,1,13,187,https://i.scdn.co/image/ab67616d00001e025a43918ea90bf1e44b7bdcfd
Global,13,SZA,https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP,4,12,187,https://i.scdn.co/image/ab67616d00001e0209d6ed214f03fbb663e46531
Global,14,Morgan Wallen,https://open.spotify.com/artist/4oUHIQIBe0LHzYfvXNW4QM,2,19,187,https://i.scdn.co/image/ab67616d00001e021dac3694b3289cd903cb3acf
Global,15,Rauw Alejandro,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq,2,15,187,https://i.scdn.co/image/ab67616d00001e02cc04ff3e70e146ba9abacf40
Global,16,Lana Del Rey,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,5,14,187,https://i.scdn.co/image/ab67616d00001e02bc5665902cfbbb15af08e5c4
Global,17,Peso Pluma,https://open.spotify.com/artist/12GqGscKJx3aE4t07u7eVZ,2,17,124,https://i.scdn.co/image/ab67616d00001e0232ab17f5515e51490841f648
Global,18,Kanye West,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,2,21,187,https://i.scdn.co/image/ab67616d00001e02fd8d7a8d96871e791cb1f626
Global,19,Rihanna,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,4,20,187,https://i.scdn.co/image/ab67616d00001e02f02c451189a709b9a952aaec
Global,20,Coldplay,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,9,18,187,https://i.scdn.co/image/ab67616d00001e026aa2a180c7b009ca8454ef89
Global,21,KAROL G,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,4,39,187,https://i.scdn.co/image/ab67616d00001e02ef985ba96e76a9574cc68a30
Global,22,Neton Vega,https://open.spotify.com/artist/6pV5zH2LzjOUHaAvENdMMa,13,16,39,https://i.scdn.co/image/ab67616d00001e02982320da137d0de34410df61
Global,23,Pritam,https://open.spotify.com/artist/1wRPtKGflJrBx9BmLsSwlU,17,23,187,https://i.scdn.co/image/ab67616d00001e02ea29212b801087f18319c187
Global,24,Playboi Carti,https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD,1,24,187,https://i.scdn.co/image/ab67616d00001e02b0dd6a5cd1dec96c4119c262
Global,25,Future,https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i,3,25,187,https://i.scdn.co/image/ab67616d00001e029263dc4504ccf1b02899d9ae
Global,26,Tito Double P,https://open.spotify.com/artist/5eumcnUkdmGvkvcsx1WFNG,12,22,40,https://i.scdn.co/image/ab67616d00001e021a0323cc23419360a34a3ace
Global,27,Sabrina Carpenter,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,2,26,80,https://i.scdn.co/image/ab67616d00001e02c027ad28821777b00dcaa888
Global,28,Ed Sheeran,https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V,1,27,187,https://i.scdn.co/image/ab67616d00001e02eda9478c39a21e1cdc6609ca
Global,29,Linkin Park,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,6,28,187,https://i.scdn.co/image/ab67616d00001e02cc392813bfd8f63d4d5f4a95
Global,30,Eminem,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,2,30,187,https://i.scdn.co/image/ab67616d00001e0291b4bc7c88d91a42e0f3a8b7
,,,,,,,
